DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/16/2015 6:00,Clear,0,32.52,32.52,none
1/16/2015 7:00,Clear,0,31.57,31.57,none
1/16/2015 8:00,Clear,0,31.11,31.11,none
1/16/2015 9:00,Clear,0,34.32,34.32,none
1/16/2015 10:00,Clear,0,39.42,39.42,none
1/16/2015 11:00,Clear,0,44.59,44.59,none
1/16/2015 12:00,Clear,0,47.95,47.95,none
1/16/2015 13:00,Clear,0,50.36,50.36,none
1/16/2015 14:00,Clear,0,51.95,51.95,none
1/16/2015 15:00,Clear,0,52.41,52.41,none
1/16/2015 16:00,Clear,0,52.23,52.23,none
1/16/2015 17:00,Clear,0,50.54,50.54,none
1/16/2015 18:00,Clear,0,46.74,46.74,none
1/16/2015 19:00,Clear,0,42.63,42.63,none
1/16/2015 20:00,Clear,0,39.19,39.19,none
1/16/2015 21:00,Clear,0,36.87,36.87,none
1/16/2015 22:00,Clear,0,36.27,36.27,none
1/16/2015 23:00,Clear,0,35.2,35.2,none
1/17/2015 0:00,Clear,0,33.78,33.78,none
1/17/2015 1:00,Clear,0,32.58,32.58,none
1/17/2015 2:00,Clear,0,32.08,32.08,none
1/17/2015 3:00,Clear,0,31.4,31.4,none
1/17/2015 4:00,Clear,0,30.76,30.76,none
1/17/2015 5:00,Clear,0,30,30,none
1/17/2015 6:00,Clear,0,29.62,29.62,none
1/17/2015 7:00,Clear,0,29.48,29.48,none
1/17/2015 8:00,Clear,0,28.91,28.91,none
1/17/2015 9:00,Clear,0,34.1,34.1,none
1/17/2015 10:00,Clear,0,38.55,38.55,none
1/17/2015 11:00,Clear,0,42.35,42.35,none
1/17/2015 12:00,Clear,0,45.39,45.39,none
1/17/2015 13:00,Clear,0,47.91,47.91,none
1/17/2015 14:00,Clear,0,49.79,49.79,none
1/17/2015 15:00,Clear,0,50.8,50.8,none
1/17/2015 16:00,Clear,0,50.98,50.98,none
1/17/2015 17:00,Clear,0,49.1,49.1,none
1/17/2015 18:00,Partly Cloudy,0,46.32,46.32,none
1/17/2015 19:00,Mostly Cloudy,0,44.91,44.91,none
1/17/2015 20:00,Clear,0,44.28,44.28,none
1/17/2015 21:00,Clear,0,43.81,43.81,none
1/17/2015 22:00,Mostly Cloudy,0,43.47,43.47,none
1/17/2015 23:00,Overcast,0,43.49,43.49,none
1/18/2015 0:00,Overcast,0,43.93,43.93,none
1/18/2015 1:00,Overcast,0,43.76,43.76,none
1/18/2015 2:00,Mostly Cloudy,0,43.36,43.36,none
1/18/2015 3:00,Mostly Cloudy,0.0043,42.26,42.26,rain
1/18/2015 4:00,Overcast,0.0189,41.84,41.84,rain
1/18/2015 5:00,Light Rain,0.0355,41.97,41.97,rain
1/18/2015 6:00,Rain,0.116,42.24,42.24,rain
1/18/2015 7:00,Rain,0.0959,42.4,42.4,rain
1/18/2015 8:00,Rain,0.0658,42.47,42.47,rain
1/18/2015 9:00,Light Rain,0.0244,43.22,43.22,rain
1/18/2015 10:00,Mostly Cloudy,0.003,45.32,45.32,rain
1/18/2015 11:00,Clear,0,50,50,none
1/18/2015 12:00,Clear,0,54.06,54.06,none
1/18/2015 13:00,Partly Cloudy,0,56.88,56.88,none
1/18/2015 14:00,Partly Cloudy,0,57.91,57.91,none
1/18/2015 15:00,Partly Cloudy,0,57.89,57.89,none
1/18/2015 16:00,Partly Cloudy,0,57.33,57.33,none
1/18/2015 17:00,Clear,0,54.94,54.94,none
1/18/2015 18:00,Clear,0,51.32,51.32,none
1/18/2015 19:00,Clear,0,48.1,48.1,none
1/18/2015 20:00,Clear,0,45.22,45.22,none
1/18/2015 21:00,Clear,0,44.02,44.02,none
1/18/2015 22:00,Clear,0,44.54,44.54,none
1/18/2015 23:00,Clear,0,43.74,43.74,none
1/19/2015 0:00,Clear,0,41.46,41.46,none
1/19/2015 1:00,Clear,0,38.9,38.9,none
1/19/2015 2:00,Clear,0,37.33,37.33,none
1/19/2015 3:00,Clear,0,36.06,36.06,none
1/19/2015 4:00,Clear,0,36.89,36.89,none
1/19/2015 5:00,Clear,0,36.71,36.71,none
1/19/2015 6:00,Clear,0,35.03,35.03,none
1/19/2015 7:00,Clear,0,34.2,34.2,none
1/19/2015 8:00,Clear,0,35.33,35.33,none
1/19/2015 9:00,Clear,0,40.57,40.57,none
1/19/2015 10:00,Clear,0,47.48,47.48,none
1/19/2015 11:00,Clear,0,52.83,52.83,none
1/19/2015 12:00,Clear,0,56.73,56.73,none
1/19/2015 13:00,Clear,0,58.85,58.85,none
1/19/2015 14:00,Clear,0,60.57,60.57,none
1/19/2015 15:00,Clear,0,61.52,61.52,none
1/19/2015 16:00,Clear,0,61.54,61.54,none
1/19/2015 17:00,Clear,0,59.51,59.51,none
1/19/2015 18:00,Clear,0,53.74,53.74,none
1/19/2015 19:00,Clear,0,49.04,49.04,none
1/19/2015 20:00,Clear,0,46.45,46.45,none
1/19/2015 21:00,Clear,0,46.75,46.75,none
1/19/2015 22:00,Clear,0,47.13,47.13,none
1/19/2015 23:00,Clear,0,45.11,45.11,none
1/20/2015 0:00,Clear,0,44.95,44.95,none
1/20/2015 1:00,Clear,0,44.05,44.05,none
1/20/2015 2:00,Clear,0,43.91,43.91,none
1/20/2015 3:00,Clear,0,43.75,43.75,none
1/20/2015 4:00,Clear,0,42.12,42.12,none
1/20/2015 5:00,Clear,0,41.28,41.28,none
1/20/2015 6:00,Clear,0,40.21,40.21,none
1/20/2015 7:00,Clear,0,39.33,39.33,none
1/20/2015 8:00,Clear,0,38.47,38.47,none
1/20/2015 9:00,Clear,0,42.9,42.9,none
1/20/2015 10:00,Clear,0,49.74,49.74,none
1/20/2015 11:00,Clear,0,56.83,56.83,none
1/20/2015 12:00,Clear,0,61.83,61.83,none
1/20/2015 13:00,Clear,0,64.79,64.79,none
1/20/2015 14:00,Clear,0,66.33,66.33,none
1/20/2015 15:00,Clear,0,66.86,66.86,none
1/20/2015 16:00,Clear,0,65.77,65.77,none
1/20/2015 17:00,Clear,0,63.41,63.41,none
1/20/2015 18:00,Clear,0,58.85,58.85,none
1/20/2015 19:00,Clear,0,55.37,55.37,none
1/20/2015 20:00,Clear,0,52.64,52.64,none
1/20/2015 21:00,Clear,0,51.64,51.64,none
1/20/2015 22:00,Clear,0,51.57,51.57,none
1/20/2015 23:00,Clear,0,51.16,51.16,none
1/21/2015 0:00,Clear,0,49.49,49.49,none
1/21/2015 1:00,Clear,0,47.92,47.92,none
1/21/2015 2:00,Clear,0,46.72,46.72,none
1/21/2015 3:00,Clear,0,45.29,45.29,none
1/21/2015 4:00,Clear,0,43.51,43.51,none
1/21/2015 5:00,Clear,0,41.97,41.97,none
1/21/2015 6:00,Clear,0,40.44,40.44,none
1/21/2015 7:00,Clear,0,39.08,39.08,none
